ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Education,Marital_Status,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,NumAcceptedCmp
5524,1957.0,58138.0,0.0,0.0,1.3467168e+18,58.0,635.0,25.2,546.0,22.0,8.8,88.0,3.0,8.0,10.0,4.0,7.0,Graduation,Single,0,0,0,0,0,0,1,0
2174,1954.0,46344.0,1.0,1.0,1.3942368e+18,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,Graduation,Single,0,0,0,0,0,0,0,0
4141,1965.0,71613.0,0.0,0.0,1.3770432e+18,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,Graduation,Together,0,0,0,0,0,0,0,0
6182,1984.0,26646.0,1.0,0.0,1.3919904e+18,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,Graduation,Together,0,0,0,0,0,0,0,0
5324,1981.0,58293.0,1.0,0.0,1.3900896e+18,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,PhD,Married,0,0,0,0,0,0,0,0
7446,1967.0,62513.0,0.0,1.0,1.3786848e+18,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,Master,Together,0,0,0,0,0,0,0,0
965,1971.0,55635.0,0.0,1.0,1.3527648e+18,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,Graduation,Divorced,0,0,0,0,0,0,0,0
6177,1985.0,33454.0,1.0,0.0,1.3679712e+18,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,PhD,Married,0,0,0,0,0,0,0,0
4855,1974.0,30351.0,1.0,0.0,1.3704768e+18,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,PhD,Together,0,0,0,0,0,0,1,0
5899,1950.0,5648.0,1.0,1.0,1.3946688e+18,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,4.0,PhD,Together,1,0,0,0,0,0,0,1
1994,1983.0,66110.4,1.0,0.0,1.3844736e+18,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,Graduation,Married,0,0,0,0,0,0,0,0
387,1976.0,7500.0,0.0,0.0,1.3527648e+18,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,Basic,Married,0,0,0,0,0,0,0,0
2125,1959.0,63033.0,0.0,0.0,1.3844736e+18,82.0,194.0,61.0,480.0,12.4,11.4,30.0,1.0,3.0,4.0,8.0,2.0,Graduation,Divorced,0,0,0,0,0,0,0,0
8180,1952.0,59354.0,1.0,1.0,1.3844736e+18,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,Master,Divorced,0,0,0,0,0,0,0,0
2569,1987.0,17323.0,0.0,0.0,1.3498272e+18,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,Graduation,Married,0,0,0,0,0,0,0,0
2114,1946.0,82800.0,0.0,0.0,1.3537152e+18,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,PhD,Single,0,0,1,1,0,0,1,2
9736,1980.0,41850.0,1.0,1.0,1.3563072e+18,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,Graduation,Married,0,0,0,0,0,0,0,0
